,Año,Clave_Ent,Entidad,Cve. Municipio,Municipio,Tipo de delito,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
14242,2015,7,Chiapas,7066,Pantelhó,Abuso sexual,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14340,2015,7,Chiapas,7067,Pantepec,Abuso sexual,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14438,2015,7,Chiapas,7068,Pichucalco,Abuso sexual,0,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
14536,2015,7,Chiapas,7069,Pijijiapan,Abuso sexual,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
14634,2015,7,Chiapas,7070,El Porvenir,Abuso sexual,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14732,2015,7,Chiapas,7071,Villa Comaltitlán,Abuso sexual,0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
14830,2015,7,Chiapas,7072,Pueblo Nuevo Solistahuacán,Abuso sexual,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14928,2015,7,Chiapas,7073,Rayón,Abuso sexual,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
15026,2015,7,Chiapas,7074,Reforma,Abuso sexual,0,0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
15124,2015,7,Chiapas,7075,Las Rosas,Abuso sexual,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15222,2015,7,Chiapas,7076,Sabanilla,Abuso sexual,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15320,2015,7,Chiapas,7077,Salto de Agua,Abuso sexual,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15418,2015,7,Chiapas,7078,San Cristóbal de las Casas,Abuso sexual,1,1,1.0,2.0,0.0,2.0,3.0,0.0,0.0,3.0,1.0,1.0
15516,2015,7,Chiapas,7079,San Fernando,Abuso sexual,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15614,2015,7,Chiapas,7080,Siltepec,Abuso sexual,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15712,2015,7,Chiapas,7081,Simojovel,Abuso sexual,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
15810,2015,7,Chiapas,7082,Sitalá,Abuso sexual,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15908,2015,7,Chiapas,7083,Socoltenango,Abuso sexual,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16006,2015,7,Chiapas,7084,Solosuchiapa,Abuso sexual,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16104,2015,7,Chiapas,7085,Soyaló,Abuso sexual,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16202,2015,7,Chiapas,7086,Suchiapa,Abuso sexual,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
16300,2015,7,Chiapas,7087,Suchiate,Abuso sexual,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
16398,2015,7,Chiapas,7088,Sunuapa,Abuso sexual,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16496,2015,7,Chiapas,7089,Tapachula,Abuso sexual,2,5,8.0,9.0,4.0,5.0,3.0,2.0,1.0,4.0,7.0,2.0
16594,2015,7,Chiapas,7090,Tapalapa,Abuso sexual,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16692,2015,7,Chiapas,7091,Tapilula,Abuso sexual,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16790,2015,7,Chiapas,7092,Tecpatán,Abuso sexual,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16888,2015,7,Chiapas,7093,Tenejapa,Abuso sexual,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16986,2015,7,Chiapas,7094,Teopisca,Abuso sexual,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
